Время,Температура,Мощность,Траффик,Нагрузка,Объект
2018-08-30 14:40:00,289.0733333333333,6311,4733,44.72054,Главный
2018-08-30 14:40:00,267.86333333333334,5892,5248,50.12943,Вспомогательный
2018-08-30 14:41:00,290.7358333333333,5805,4930,44.95902,Главный
2018-08-30 14:41:00,270.62875,5677,5292,49.33425,Вспомогательный
2018-08-30 14:42:00,281.6645833333334,4290,4680,45.21354,Главный
2018-08-30 14:42:00,270.2633333333333,4456,5375,50.15258,Вспомогательный
2018-08-30 14:43:00,291.27624999999995,3240,4782,45.45946,Главный
2018-08-30 14:43:00,272.8770833333333,4715,5330,50.38365,Вспомогательный
2018-08-30 14:44:00,283.76000000000005,2861,4783,45.50965,Главный
2018-08-30 14:44:00,272.66041666666666,4962,5330,50.38365,Вспомогательный
2018-08-30 14:45:00,294.955,2633,4809,45.9014,Главный
2018-08-30 14:45:00,273.6741666666666,4913,5322,51.23677,Вспомогательный
2018-08-30 14:46:00,284.52375,2071,4895,46.62239,Главный
2018-08-30 14:46:00,273.2129166666667,5220,5440,52.90973,Вспомогательный
2018-08-30 14:47:00,271.91666666666663,5844,5246,52.62532,Вспомогательный
2018-08-30 14:47:00,280.6275,1189,5013,46.02055,Главный
2018-08-30 14:48:00,261.1670833333333,6657,5101,52.21231,Вспомогательный
2018-08-30 14:48:00,276.88750000000005,688,4931,47.25995,Главный
2018-08-30 14:49:00,256.3666666666666,6277,5068,52.13923,Вспомогательный
2018-08-30 14:49:00,278.6083333333333,389,4786,47.0479,Главный
2018-08-30 14:50:00,250.62875,4827,5014,51.11188,Вспомогательный
2018-08-30 14:50:00,275.6858333333334,295,4818,46.50912,Главный
2018-08-30 14:51:00,277.6566666666667,364,4679,46.41478,Главный
2018-08-30 14:51:00,252.51333333333335,3481,5006,49.79477,Вспомогательный
2018-08-30 14:52:00,272.52416666666664,898,4772,47.0113,Главный
2018-08-30 14:52:00,249.27166666666668,2877,4983,49.44384,Вспомогательный
2018-08-30 14:53:00,281.6791666666667,3137,4803,47.09749,Главный
2018-08-30 14:53:00,257.3691666666667,3418,5017,49.5236,Вспомогательный
2018-08-30 14:54:00,278.27916666666664,5886,4695,46.67335,Главный
2018-08-30 14:54:00,253.70625000000004,3294,4960,49.41745,Вспомогательный
2018-08-30 14:55:00,254.94249999999997,1297,4996,48.92966,Вспомогательный
2018-08-30 14:55:00,286.5891666666667,6134,4688,46.3264,Главный
2018-08-30 14:56:00,280.8675,5786,4655,45.9093,Главный
2018-08-30 14:56:00,254.42999999999998,826,4984,49.04948,Вспомогательный
2018-08-30 14:57:00,264.54833333333335,594,5006,48.67302,Вспомогательный
2018-08-30 14:57:00,282.2279166666666,4843,4639,46.06232,Главный
2018-08-30 14:58:00,274.5291666666667,4442,4559,46.09843,Главный
2018-08-30 14:58:00,265.21583333333336,431,4972,48.29463,Вспомогательный
2018-08-30 14:59:00,269.10083333333336,521,5061,47.85683,Вспомогательный
